!Siglent Technologies,SNA5002A,SNA5XCED6R0121,V1.0.0.2.13
!Date: 2026-01-30 14:13:45
!Channel 1
!Trace1
Frequency,S11(DB),S11(DEG)
1.004442123971e+04,2.269530468931e+01,8.830997554989e+01
1.005025788276e+04,2.272594647284e+01,8.823128589119e+01
1.005609791739e+04,2.265806103762e+01,8.799910276192e+01
1.006194134556e+04,2.269316061477e+01,8.811874282306e+01
1.006778816926e+04,2.279455968264e+01,8.831673351958e+01
1.007363839044e+04,2.271016072444e+01,8.830510251937e+01
1.007949201108e+04,2.274449168520e+01,8.818513013184e+01
1.008534903317e+04,2.282495196014e+01,8.852422934716e+01
1.009120945867e+04,2.283952389037e+01,8.860207258925e+01
1.009707328957e+04,2.296161122918e+01,8.754674483624e+01
1.010294052783e+04,2.297840582343e+01,8.764824280919e+01
1.010881117546e+04,2.289729855129e+01,8.867197631402e+01
1.011468523441e+04,2.302361807177e+01,8.779559673353e+01
1.012056270668e+04,2.300404927079e+01,8.781807494454e+01
1.012644359425e+04,2.292106311584e+01,8.866932112269e+01
1.013232789911e+04,2.296219597140e+01,8.852351369404e+01
1.013821562323e+04,2.295948244276e+01,8.853427767387e+01
1.014410676861e+04,2.295925604547e+01,8.857472960158e+01
1.015000133724e+04,2.297490479209e+01,8.856476485414e+01
1.015589933110e+04,2.297598172351e+01,8.849328858713e+01
1.016180075219e+04,2.300005306751e+01,8.848443428844e+01
1.016770560249e+04,2.303274628659e+01,8.837059299285e+01
1.017361388400e+04,2.304529598341e+01,8.848879551961e+01
1.017952559871e+04,2.304842612223e+01,8.841568244667e+01
1.018544074862e+04,2.307707795226e+01,8.818948412889e+01
1.019135933572e+04,2.307730617720e+01,8.835269777202e+01
1.019728136201e+04,2.308194895256e+01,8.822674870644e+01
1.020320682950e+04,2.309530006469e+01,8.818322541615e+01
1.020913574017e+04,2.310318721866e+01,8.815235278402e+01
1.021506809603e+04,2.313191915523e+01,8.845519241078e+01
1.022100389908e+04,2.314438026449e+01,8.853327707027e+01
1.022694315133e+04,2.314756742886e+01,8.805865715001e+01
1.023288585477e+04,2.314063302240e+01,8.797277690494e+01
1.023883201142e+04,2.316311561403e+01,8.768634558738e+01
1.024478162328e+04,2.315752865824e+01,8.762478209459e+01
1.025073469236e+04,2.317705336386e+01,8.770627678729e+01
1.025669122067e+04,2.316776130130e+01,8.747031190458e+01
1.026265121021e+04,2.316418533238e+01,8.762642900626e+01
1.026861466301e+04,2.317784893119e+01,8.731086785856e+01
1.027458158106e+04,2.318623927666e+01,8.721626292447e+01
1.028055196639e+04,2.317310562258e+01,8.726252510175e+01
1.028652582101e+04,2.317688775277e+01,8.715606331333e+01
1.029250314694e+04,2.318558738505e+01,8.696716635342e+01
1.029848394619e+04,2.316601622735e+01,8.711758700727e+01
1.030446822078e+04,2.320579071656e+01,8.716096537189e+01
1.031045597273e+04,2.318520295928e+01,8.703588864790e+01
1.031644720406e+04,2.318301407093e+01,8.714811105076e+01
1.032244191679e+04,2.319487860652e+01,8.719930582727e+01
1.032844011295e+04,2.319038778834e+01,8.687879942012e+01
1.033444179456e+04,2.317133943524e+01,8.691051920116e+01
1.034044696365e+04,2.317728102766e+01,8.681624813381e+01
1.034645562224e+04,2.315080852430e+01,8.682378000640e+01
1.035246777236e+04,2.315067743807e+01,8.690839452546e+01
1.035848341603e+04,2.315225474578e+01,8.666717251805e+01
1.036450255530e+04,2.314006037833e+01,8.669003845858e+01
1.037052519218e+04,2.315353243976e+01,8.671962706892e+01
1.037655132872e+04,2.314612109607e+01,8.673085679644e+01
1.038258096695e+04,2.311118344266e+01,8.691470089127e+01
1.038861410889e+04,2.314776775839e+01,8.681428141019e+01
1.039465075659e+04,2.312832079937e+01,8.685038231594e+01
1.040069091209e+04,2.306767856412e+01,8.699852222357e+01
1.040673457741e+04,2.307718572476e+01,8.690452932159e+01
1.041278175461e+04,2.312941961950e+01,8.689329884664e+01
1.041883244572e+04,2.305808955743e+01,8.692321013632e+01
1.042488665278e+04,2.303805530304e+01,8.713880830574e+01
1.043094437785e+04,2.311102509087e+01,8.689998773183e+01
1.043700562295e+04,2.309470530531e+01,8.713256798941e+01
1.044307039014e+04,2.309136748681e+01,8.726063483500e+01
1.044913868146e+04,2.308352414025e+01,8.723169751739e+01
1.045521049897e+04,2.306897856161e+01,8.727152927686e+01
1.046128584470e+04,2.309102166477e+01,8.736466368782e+01
1.046736472072e+04,2.306969707025e+01,8.740649619542e+01
1.047344712906e+04,2.314863152777e+01,8.734574945525e+01
1.047953307180e+04,2.313620972107e+01,8.731399665121e+01
1.048562255097e+04,2.309320845493e+01,8.784061253543e+01
1.049171556863e+04,2.314633265545e+01,8.746065034852e+01
1.049781212684e+04,2.317320437516e+01,8.742984880778e+01
1.050391222766e+04,2.305744061970e+01,8.855202089008e+01
1.051001587315e+04,2.306352289478e+01,8.875476572244e+01
1.051612306536e+04,2.316063652022e+01,8.814224663150e+01
1.052223380635e+04,2.306760101895e+01,8.891064324785e+01
1.052834809820e+04,2.312042968304e+01,8.905561030274e+01
1.053446594295e+04,2.315758382768e+01,8.835829611398e+01
1.054058734268e+04,2.315373224649e+01,8.854842805756e+01
1.054671229945e+04,2.316736664558e+01,8.867011670634e+01
1.055284081534e+04,2.341444315471e+01,8.984866824071e+01
1.055897289239e+04,2.345786962061e+01,8.980532481660e+01
1.056510853270e+04,2.320116510150e+01,8.856618654984e+01
1.057124773832e+04,2.318859563019e+01,8.805755879775e+01
1.057739051133e+04,2.322184495419e+01,8.802066369150e+01
1.058353685380e+04,2.322843561340e+01,8.877296890135e+01
1.058968676781e+04,2.322552206794e+01,8.823525154626e+01
1.059584025542e+04,2.323094204882e+01,8.832387171904e+01
1.060199731873e+04,2.332576244829e+01,8.961118347943e+01
1.060815795980e+04,2.334250640783e+01,8.950251459055e+01
1.061432218071e+04,2.331211707712e+01,8.905677758617e+01
1.062048998355e+04,2.336464129200e+01,8.951191703496e+01
1.062666137039e+04,2.340919840902e+01,8.936679082938e+01
1.063283634333e+04,2.335353637054e+01,8.889573810004e+01
1.063901490443e+04,2.336786639533e+01,8.917716245622e+01
1.064519705579e+04,2.338542296844e+01,8.908951146817e+01
1.065138279950e+04,2.339481104756e+01,8.897300986667e+01
1.065757213763e+04,2.359958479483e+01,8.839259062821e+01
1.066376507229e+04,2.359704748410e+01,8.816356702207e+01
1.066996160555e+04,2.342712747757e+01,8.893577059851e+01
1.067616173952e+04,2.344435089173e+01,8.893150689400e+01
1.068236547628e+04,2.345734882410e+01,8.893434729339e+01
1.068857281792e+04,2.350114786618e+01,8.890039078700e+01
1.069478376655e+04,2.350494653948e+01,8.895160352530e+01
1.070099832425e+04,2.349522887544e+01,8.871853779891e+01
1.070721649313e+04,2.350334008804e+01,8.878678981367e+01
1.071343827528e+04,2.351827131295e+01,8.875677869757e+01
1.071966367280e+04,2.352176620213e+01,8.856077965325e+01
1.072589268780e+04,2.352978841756e+01,8.862280606410e+01
1.073212532237e+04,2.353218924431e+01,8.858554604385e+01
1.073836157862e+04,2.354708820216e+01,8.853527105220e+01
1.074460145865e+04,2.355429857212e+01,8.842990147070e+01
1.075084496457e+04,2.356103965372e+01,8.855020060691e+01
1.075709209848e+04,2.356628056510e+01,8.834628919164e+01
1.076334286250e+04,2.357913328946e+01,8.830533000046e+01
1.076959725873e+04,2.357020265379e+01,8.827750207090e+01
1.077585528929e+04,2.358342298355e+01,8.825966206755e+01
1.078211695628e+04,2.358184523168e+01,8.816121686578e+01
1.078838226182e+04,2.359022088661e+01,8.815540462714e+01
1.079465120803e+04,2.357797240109e+01,8.815282741749e+01
1.080092379701e+04,2.361338134699e+01,8.759051438330e+01
1.080720003088e+04,2.360757019881e+01,8.754731639944e+01
1.081347991177e+04,2.357451345232e+01,8.803000200969e+01
1.081976344180e+04,2.357537377716e+01,8.780943975961e+01
1.082605062307e+04,2.355511725432e+01,8.839074308303e+01
1.083234145772e+04,2.355976490526e+01,8.824339186725e+01
1.083863594787e+04,2.359000574100e+01,8.788491850872e+01
1.084493409564e+04,2.355748725486e+01,8.830299330974e+01
1.085123590316e+04,2.357056911145e+01,8.828487587745e+01
1.085754137254e+04,2.355732315110e+01,8.778686472823e+01
1.086385050594e+04,2.357311756163e+01,8.759152808433e+01
1.087016330546e+04,2.356762198289e+01,8.768505870396e+01
1.087647977324e+04,2.386262972460e+01,8.857078195410e+01
1.088279991142e+04,2.387760664872e+01,8.830192724599e+01
1.088912372212e+04,2.354771496832e+01,8.755195164757e+01
1.089545120747e+04,2.355420827571e+01,8.770577479686e+01
1.090178236963e+04,2.388105779708e+01,8.791248325575e+01
1.090811721071e+04,2.387948390008e+01,8.776067067596e+01
1.091445573287e+04,2.354606282866e+01,8.757294718318e+01
1.092079793823e+04,2.353779396955e+01,8.769413497274e+01
1.092714382894e+04,2.352349324144e+01,8.760625437272e+01
1.093349340714e+04,2.350496509354e+01,8.790432784307e+01
1.093984667497e+04,2.349954902708e+01,8.779628139800e+01
1.094620363458e+04,2.351378039932e+01,8.779218852862e+01
1.095256428811e+04,2.385246984495e+01,8.712926963506e+01
1.095892863771e+04,2.382581464435e+01,8.704778354335e+01
1.096529668552e+04,2.352148506596e+01,8.794942034731e+01
1.097166843370e+04,2.351519498442e+01,8.797144131998e+01
1.097804388439e+04,2.349336811887e+01,8.816524005302e+01
1.098442303975e+04,2.350193827354e+01,8.829332712956e+01
1.099080590193e+04,2.349729217398e+01,8.814123459823e+01
1.099719247308e+04,2.350028917171e+01,8.830506451223e+01
1.100358275536e+04,2.342097179884e+01,8.823164757822e+01
1.100997675093e+04,2.341801660117e+01,8.829705692544e+01
1.101637446194e+04,2.352036074156e+01,8.843253223804e+01
1.102277589055e+04,2.351170188740e+01,8.861383152715e+01
1.102918103892e+04,2.351815274592e+01,8.858999595778e+01
1.103558990921e+04,2.352508858941e+01,8.877928560259e+01
1.104200250359e+04,2.354977352015e+01,8.867246416429e+01
1.104841882422e+04,2.355325930983e+01,8.887417667727e+01
1.105483887327e+04,2.355842413274e+01,8.885081477746e+01
1.106126265289e+04,2.360424941104e+01,8.871745514180e+01
1.106769016527e+04,2.360602447295e+01,8.889073320301e+01
1.107412141256e+04,2.362866327735e+01,8.887824058356e+01
1.108055639695e+04,2.359552966958e+01,8.905101182118e+01
1.108699512059e+04,2.359785768269e+01,8.908812094583e+01
1.109343758567e+04,2.360537269451e+01,8.918477313094e+01
1.109988379436e+04,2.361164314610e+01,8.932978030491e+01
1.110633374882e+04,2.364008862077e+01,8.939236463329e+01
1.111278745125e+04,2.364924519617e+01,8.939858224661e+01
1.111924490381e+04,2.364290954169e+01,8.937359939394e+01
1.112570610870e+04,2.367424818899e+01,8.927652661325e+01
1.113217106807e+04,2.369472666511e+01,8.933710518494e+01
1.113863978413e+04,2.369955180794e+01,8.951453039591e+01
1.114511225905e+04,2.373785860701e+01,8.952345763161e+01
1.115158849501e+04,2.374143587877e+01,8.942812546115e+01
1.115806849420e+04,2.376076662582e+01,8.944356654060e+01
1.116455225881e+04,2.375801627526e+01,8.959408164675e+01
1.117103979103e+04,2.378353619852e+01,8.950581184530e+01
1.117753109304e+04,2.380127860381e+01,8.947222958195e+01
1.118402616704e+04,2.383608362172e+01,8.939713928711e+01
1.119052501521e+04,2.383295678265e+01,8.950495893853e+01
1.119702763976e+04,2.385062834276e+01,8.943672876972e+01
1.120353404287e+04,2.386665837167e+01,8.950154030856e+01
1.121004422674e+04,2.387252610845e+01,8.932363568872e+01
1.121655819357e+04,2.389085753174e+01,8.932657682762e+01
1.122307594556e+04,2.390250920315e+01,8.926683379061e+01
1.122959748490e+04,2.391769449935e+01,8.931758146474e+01
1.123612281379e+04,2.392868303883e+01,8.935174519794e+01
1.124265193445e+04,2.393824792733e+01,8.914744978736e+01
1.124918484906e+04,2.396147232138e+01,8.905735117793e+01
1.125572155985e+04,2.396894534149e+01,8.899018905626e+01
1.126226206900e+04,2.397566435878e+01,8.898065343940e+01
1.126880637873e+04,2.399990619499e+01,8.890168385298e+01
1.127535449125e+04,2.400795942960e+01,8.882210766124e+01
1.128190640877e+04,2.399766334365e+01,8.884149373073e+01
1.128846213350e+04,2.398533426316e+01,8.875572543258e+01
1.129502166764e+04,2.401304692222e+01,8.858461531907e+01
1.130158501342e+04,2.402816112655e+01,8.857390648442e+01
1.130815217305e+04,2.402333627534e+01,8.846136572525e+01
1.131472314875e+04,2.402660081603e+01,8.838899422847e+01
1.132129794273e+04,2.403841966412e+01,8.840601117797e+01
1.132787655721e+04,2.403017243377e+01,8.838628959814e+01
1.133445899441e+04,2.401362269464e+01,8.820734181915e+01
1.134104525655e+04,2.403211651359e+01,8.826863900302e+01
1.134763534586e+04,2.402176797318e+01,8.826056135807e+01
1.135422926456e+04,2.404821074114e+01,8.786813381032e+01
1.136082701487e+04,2.403680109564e+01,8.805165455960e+01
1.136742859902e+04,2.402802176617e+01,8.807207535164e+01
1.137403401924e+04,2.405701650825e+01,8.908507300512e+01
1.138064327776e+04,2.405773849468e+01,8.938793651243e+01
1.138725637681e+04,2.404215391108e+01,8.760409098253e+01
1.139387331862e+04,2.402089123169e+01,8.762918407331e+01
1.140049410542e+04,2.400878582972e+01,8.789520501293e+01
1.140711873945e+04,2.398482826810e+01,8.786959804588e+01
1.141374722294e+04,2.399426189210e+01,8.796480757610e+01
1.142037955813e+04,2.397295621444e+01,8.789381268491e+01
1.142701574726e+04,2.395347832228e+01,8.848747758791e+01
1.143365579256e+04,2.396496347393e+01,8.855281848216e+01
1.144029969628e+04,2.397799426098e+01,8.804907564169e+01
1.144694746067e+04,2.395774709096e+01,8.809397880993e+01
1.145359908795e+04,2.396868053662e+01,8.800121136001e+01
1.146025458039e+04,2.393948208971e+01,8.747205608080e+01
1.146691394021e+04,2.392773346709e+01,8.755120414412e+01
1.147357716968e+04,2.395936119369e+01,8.831628971722e+01
1.148024427104e+04,2.394541474949e+01,8.835372332176e+01
1.148691524654e+04,2.395104208367e+01,8.851468950831e+01
1.149359009843e+04,2.395517283522e+01,8.868338872709e+01
1.150026882896e+04,2.394486593617e+01,8.860296876989e+01
1.150695144039e+04,2.396418751538e+01,8.872841531180e+01
1.151363793497e+04,2.388372482229e+01,8.812273651620e+01
1.152032831496e+04,2.387019750906e+01,8.832370455227e+01
1.152702258262e+04,2.397297478265e+01,8.908448866675e+01
1.153372074020e+04,2.398189356128e+01,8.896870885102e+01
1.154042278997e+04,2.398671432570e+01,8.908240161291e+01
1.154712873419e+04,2.399220026324e+01,8.918062419226e+01
1.155383857512e+04,2.399971067021e+01,8.926058734231e+01
1.156055231502e+04,2.399568877709e+01,8.933587834461e+01
1.156726995616e+04,2.401896269589e+01,8.926299118161e+01
1.157399150081e+04,2.401959228577e+01,8.936406341648e+01
1.158071695124e+04,2.403909717230e+01,8.942705906945e+01
1.158744630971e+04,2.404307562001e+01,8.954043715493e+01
1.159417957850e+04,2.404888976850e+01,8.969329025320e+01
1.160091675987e+04,2.406461875303e+01,8.949556315036e+01
1.160765785611e+04,2.432571131251e+01,8.703495146920e+01
1.161440286948e+04,2.432557971917e+01,8.694127392169e+01
1.162115180227e+04,2.409124412812e+01,8.988453029211e+01
1.162790465675e+04,2.428742999968e+01,8.697369544842e+01
1.163466143520e+04,2.417307020986e+01,8.735100773402e+01
1.164142213989e+04,2.413505578315e+01,9.002421797472e+01
1.164818677312e+04,2.416933252056e+01,8.994250476873e+01
1.165495533716e+04,2.416878883954e+01,8.995847122242e+01
1.166172783430e+04,2.410350488514e+01,9.040482058167e+01
1.166850426683e+04,2.420459946365e+01,9.009979671190e+01
1.167528463702e+04,2.420843370673e+01,9.001292245954e+01
1.168206894717e+04,2.420570332059e+01,9.000754441168e+01
1.168885719957e+04,2.428802907124e+01,8.940359913348e+01
1.169564939651e+04,2.425036687792e+01,8.994539244561e+01
1.170244554028e+04,2.426045771270e+01,8.993251377631e+01
1.170924563317e+04,2.429245797474e+01,8.945311839596e+01
1.171604967748e+04,2.429426088739e+01,8.992848451551e+01
1.172285767551e+04,2.430518530177e+01,8.984155237277e+01
1.172966962954e+04,2.420914431816e+01,8.796974281727e+01
1.173648554189e+04,2.419842086314e+01,8.797716912476e+01
1.174330541485e+04,2.431992555204e+01,8.992335389205e+01
1.175012925073e+04,2.434982848265e+01,8.978685071363e+01
